参数,参数键,层级,单位,扰动值,扰动标签,相对基准变化,可控性,解释,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,外推期均价,第180天剩余供需缺口,外推期最大供需缺口,二次跳涨幅度,二次跳涨风险,第180天价格相对基准变化
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.24,0.24,0.0,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
预期修复强度,relief_discount_strength,市场价格形成层,无量纲,0.3,0.30,0.25,中,市场确认运输、库存和政策缓冲后给出的再定价折价。,110.63851879955392,105.55025157934118,100.99197989722161,93.13679996007792,110.63028978287608,100.82837236067559,0.0,0.0,0.0,低,-4.263256414560601e-14
冲击不确定性占比,SHOCK_UNCERTAINTY_SHARE,长期机制透明层,无量纲,0.25,0.25,-0.4444444444444445,中,长期不确定性中由前期冲击再定价贡献的比例，用于检验冲击溢价强弱。,110.97858872341435,103.61731806192338,99.44584729841176,92.49166415428613,109.82799376540994,99.39182425138151,0.0,0.0,0.0,低,-0.6451358057918384
冲击不确定性占比,SHOCK_UNCERTAINTY_SHARE,长期机制透明层,无量纲,0.35,0.35,-0.2222222222222223,中,长期不确定性中由前期冲击再定价贡献的比例，用于检验冲击溢价强弱。,110.97858872341435,104.58371723045309,100.2205104270874,92.81435547712542,110.29307374438916,100.11549790254219,0.0,0.0,0.0,低,-0.32244448295254813
冲击不确定性占比,SHOCK_UNCERTAINTY_SHARE,长期机制透明层,无量纲,0.45,0.45,0.0,中,长期不确定性中由前期冲击再定价贡献的比例，用于检验冲击溢价强弱。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
冲击不确定性占比,SHOCK_UNCERTAINTY_SHARE,长期机制透明层,无量纲,0.55,0.55,0.2222222222222223,中,长期不确定性中由前期冲击再定价贡献的比例，用于检验冲击溢价强弱。,110.97858872341435,106.51736743283897,101.75635979433491,93.45900020635274,111.22323370234761,101.54415229874753,0.0,0.0,0.0,低,0.3222002462747753
冲击不确定性占比,SHOCK_UNCERTAINTY_SHARE,长期机制透明层,无量纲,0.65,0.65,0.4444444444444445,中,长期不确定性中由前期冲击再定价贡献的比例，用于检验冲击溢价强弱。,110.97858872341435,107.48460701204145,102.50234962168626,93.78095877674313,111.68831368132685,102.25085071910436,0.0,0.0,0.06559500534812912,低,0.6441588166651684
制度风险占比,REGIME_RISK_SHARE,长期机制透明层,无量纲,0.5,0.50,-0.4444444444444445,中,持续封锁制度风险对长期风险溢价的贡献强度。,110.97858872341435,101.871473259527,97.33974352732291,90.71135927834118,109.34954300234494,97.53690591882025,0.0,0.0,0.0,低,-2.425440681736788
制度风险占比,REGIME_RISK_SHARE,长期机制透明层,无量纲,0.7,0.70,-0.2222222222222223,中,持续封锁制度风险对长期风险溢价的贡献强度。,110.97858872341435,103.71044345437072,99.09603633258091,91.88221222146508,110.05384836285667,99.15695125275421,0.0,0.0,0.0,低,-1.2545877386128836
制度风险占比,REGIME_RISK_SHARE,长期机制透明层,无量纲,0.9,0.90,0.0,中,持续封锁制度风险对长期风险溢价的贡献强度。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
制度风险占比,REGIME_RISK_SHARE,长期机制透明层,无量纲,1.1,1.10,0.2222222222222223,中,持续封锁制度风险对长期风险溢价的贡献强度。,110.97858872341435,107.39131285711237,102.96232922071181,94.48166487290288,111.46245908388012,102.5511431885167,0.0,0.0,0.0,低,1.3448649128249173
制度风险占比,REGIME_RISK_SHARE,长期机制透明层,无量纲,1.3,1.30,0.4444444444444445,中,持续封锁制度风险对长期风险溢价的贡献强度。,110.97858872341435,109.23314017588153,104.66023523243318,95.92364438413989,112.62046392137661,104.29868537377459,0.0,0.0,0.9977452453978941,低,2.7868444240619255
信心恢复后风险底座,REGIME_CONFIDENCE_DECAY_FLOOR,长期机制透明层,无量纲,0.2,0.20,-0.5,中,市场逐步确认缓冲有效后，持续封锁风险仍保留的最低比例。,110.97858872341435,105.15435288160906,100.13164052356292,92.00402445010099,110.73163561665855,100.08789692545888,0.0,0.0,0.0,低,-1.1327755099769803
信心恢复后风险底座,REGIME_CONFIDENCE_DECAY_FLOOR,长期机制透明层,无量纲,0.3,0.30,-0.25000000000000006,中,市场逐步确认缓冲有效后，持续封锁风险仍保留的最低比例。,110.97858872341435,105.3523730929948,100.55859426772149,92.56180698879871,110.74489467001347,100.45720602952666,0.0,0.0,0.0,低,-0.5749929712792579
信心恢复后风险底座,REGIME_CONFIDENCE_DECAY_FLOOR,长期机制透明层,无量纲,0.4,0.40,0.0,中,市场逐步确认缓冲有效后，持续封锁风险仍保留的最低比例。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
信心恢复后风险底座,REGIME_CONFIDENCE_DECAY_FLOOR,长期机制透明层,无量纲,0.5,0.50,0.24999999999999994,中,市场逐步确认缓冲有效后，持续封锁风险仍保留的最低比例。,110.97858872341435,105.74844044217227,101.4312957235091,93.72955552588347,110.77141277672331,101.21416105845523,0.0,0.0,0.0,低,0.5927555658055041
信心恢复后风险底座,REGIME_CONFIDENCE_DECAY_FLOOR,长期机制透明层,无量纲,0.6,0.60,0.4999999999999999,中,市场逐步确认缓冲有效后，持续封锁风险仍保留的最低比例。,110.97858872341435,105.9464875131998,101.87540506604556,94.34063494201003,110.78467183007824,101.60174462436413,0.0,0.0,0.0,低,1.2038349819320615
SPR收缩起点,SPR_TAPER_START_DAY,长期机制透明层,天,60.0,60天,-0.2,高,长期外推中 SPR 从计划释放转向缺口驱动收缩的开始时间。,110.97858872341435,105.76595495266643,100.99404664407449,93.13679996007961,110.79967086859978,100.91059038982519,0.0,0.0,0.0,低,1.6484591469634324e-12
SPR收缩起点,SPR_TAPER_START_DAY,长期机制透明层,天,75.0,75天,0.0,高,长期外推中 SPR 从计划释放转向缺口驱动收缩的开始时间。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
SPR收缩起点,SPR_TAPER_START_DAY,长期机制透明层,天,90.0,90天,0.2,高,长期外推中 SPR 从计划释放转向缺口驱动收缩的开始时间。,110.97858872341435,105.29372508798087,100.98312448922023,93.13679996007087,110.7581537233684,100.77096434560465,0.0,0.0,0.0,低,-7.0912165028858e-12
SPR收缩起点,SPR_TAPER_START_DAY,长期机制透明层,天,105.0,105天,0.4,高,长期外推中 SPR 从计划释放转向缺口驱动收缩的开始时间。,110.97858872341435,105.29372508798087,100.9349383000976,93.13679996003228,110.7581537233684,100.72901350215002,0.0,0.0,0.0,低,-4.568789790937444e-11
过剩供给回归强度,OVERSUPPLY_REVERSION_SCALE,长期机制透明层,无量纲,0.8,0.80,-0.40740740740740744,中,供给超过需求时向下修正目标价格的机制强度。,110.97858872341435,105.61988970974576,101.01946900088974,93.16378280919655,110.80559817829446,100.87743998980787,0.0,0.0,0.0,低,0.026982849118581953
过剩供给回归强度,OVERSUPPLY_REVERSION_SCALE,长期机制透明层,无量纲,1.1,1.10,-0.18518518518518517,中,供给超过需求时向下修正目标价格的机制强度。,110.97858872341435,105.58180505698475,101.00447332501413,93.14906508340883,110.77971938469842,100.85293117537326,0.0,0.0,0.0,低,0.012265123330863048
过剩供给回归强度,OVERSUPPLY_REVERSION_SCALE,长期机制透明层,无量纲,1.35,1.35,0.0,中,供给超过需求时向下修正目标价格的机制强度。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
过剩供给回归强度,OVERSUPPLY_REVERSION_SCALE,长期机制透明层,无量纲,1.7,1.70,0.25925925925925913,中,供给超过需求时向下修正目标价格的机制强度。,110.97858872341435,105.5069409259659,100.97449404435552,93.1196282498167,110.72796179750635,100.80438862867035,0.0,0.0,0.0,低,-0.01717171026126607
过剩供给回归强度,OVERSUPPLY_REVERSION_SCALE,长期机制透明层,无量纲,2.2,2.20,0.6296296296296297,中,供给超过需求时向下修正目标价格的机制强度。,110.97858872341435,105.44585023631777,100.94952322044432,93.09509614656561,110.6848304748463,100.76440963934755,0.0,0.0,0.0,低,-0.04170381351235619
封锁风险衰减速度,BLOCKADE_RISK_DECAY,长期机制透明层,日衰减率,0.002,0.002,-0.5,中,封锁风险溢价随时间被市场吸收的速度，用于检验长期路径是否依赖隐藏指数衰减常数。,113.6967610441873,109.25194815010478,105.83160985688968,99.88655896873843,113.63234648886582,105.79337236253126,0.0,0.0,0.0,低,6.749759008660462
封锁风险衰减速度,BLOCKADE_RISK_DECAY,长期机制透明层,日衰减率,0.004,0.004,0.0,中,封锁风险溢价随时间被市场吸收的速度，用于检验长期路径是否依赖隐藏指数衰减常数。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
封锁风险衰减速度,BLOCKADE_RISK_DECAY,长期机制透明层,日衰减率,0.006,0.006,0.5,中,封锁风险溢价随时间被市场吸收的速度，用于检验长期路径是否依赖隐藏指数衰减常数。,108.55787510725499,102.45026649688732,96.65263584808055,88.34854420487478,108.22281661994612,96.82934450657878,0.0,0.0,0.0,低,-4.788255755203181
封锁风险衰减速度,BLOCKADE_RISK_DECAY,长期机制透明层,日衰减率,0.008,0.008,1.0,中,封锁风险溢价随时间被市场吸收的速度，用于检验长期路径是否依赖隐藏指数衰减常数。,106.40199633591249,99.6411542863835,93.1876356201936,84.9587417863359,105.98625867139931,93.62630305370233,0.0,0.0,0.0,低,-8.178058173742059
