窗口起始,窗口终止,日收益波动率,实现波动率_46日,最大单日绝对收益,平均绝对日收益,累计收益率,价格区间比例,朴素上一日基准_RMSE
2021-12-03,2022-02-04,0.016114262187702025,0.10929224359159322,0.04815178102279851,0.013482725355533595,0.31907613344739083,0.3190761334473909,1.3416723827405461
2021-12-06,2022-02-07,0.014818559965877708,0.10050436356331213,0.03930212068962891,0.012515727484009503,0.26290760869565233,0.281929347826087,1.342287955887908
2021-12-07,2022-02-08,0.014938459463627127,0.10131756152185968,0.03930212068962891,0.01239258207074474,0.21226602947033046,0.2754546661356697,1.2646119872359547
2021-12-08,2022-02-09,0.014929088544023484,0.10125400485286243,0.03930212068962891,0.012332783728018316,0.2090082971157643,0.2732780192282365,1.240640612923333
2021-12-09,2022-02-10,0.01429355157633022,0.09694358342149188,0.03930212068962891,0.01184852325632504,0.23564383191460614,0.2803675179029861,1.238558067656306
2021-12-10,2022-02-11,0.015070314398243592,0.10221184519833194,0.03930212068962891,0.012343082475822914,0.2634515743324033,0.30423807625880156,1.3204190704996386
2021-12-13,2022-02-14,0.014830510217253722,0.10058541411152555,0.03930212068962891,0.0122353923735885,0.2896932185145318,0.3182185145317545,1.3119534058534374
2021-12-14,2022-02-15,0.016598483490309505,0.11257639225073592,0.04885276393783324,0.012977499685217634,0.24733533752391357,0.32317573107406383,1.4682035755066234
2021-12-15,2022-02-16,0.016783705761808047,0.11383263081626303,0.04885276393783324,0.012983051384540365,0.2110153514678157,0.31847562617829234,1.4720696758084453
2021-12-16,2022-02-17,0.01679578207614365,0.11391453636506704,0.04885276393783324,0.013094312152446141,0.2170937877364818,0.317321883805179,1.4679436963494792
2021-12-17,2022-02-18,0.016293346422688083,0.11050685196804422,0.04885276393783324,0.012756060543131983,0.2546328071379549,0.3246396705559368,1.4709262092448678
2021-12-20,2022-02-21,0.016835218426596278,0.11418200670716694,0.04885276393783324,0.013389624116090423,0.31426592797783925,0.32756232686980596,1.5385227245357933
2021-12-21,2022-02-22,0.016884146309186436,0.114513851752269,0.04885276393783324,0.013181092467412253,0.26358475263584746,0.29562043795620424,1.5495441124800986
2021-12-22,2022-02-23,0.01674133199890999,0.11354523797366171,0.04885276393783324,0.01298903064870797,0.2527109230362339,0.26791854006876475,1.538237981248844
2021-12-23,2022-02-24,0.016745653773404076,0.11357454967439325,0.04885276393783324,0.012999481948645149,0.25330022219317727,0.26532479414455623,1.528711449441055
2021-12-24,2022-02-25,0.016790326837191675,0.11387753713435794,0.04885276393783324,0.013041030739047962,0.25095912157692823,0.26855404153988616,1.5356410642662779
2021-12-27,2022-02-28,0.01668701129952294,0.11317681706550457,0.04885276393783324,0.012988909517778442,0.24802849147799533,0.2566776901551769,1.6171909354615885
2021-12-28,2022-03-01,0.0211070681541527,0.14315510119777838,0.09269400442008352,0.014992317354377116,0.36577010910936325,0.37693478812484155,2.0952539536855146
2021-12-29,2022-03-02,0.022611658576605763,0.1533597299323049,0.09269400442008352,0.016264080823306364,0.4462121212121213,0.4621212121212122,2.32835172152543
2021-12-30,2022-03-03,0.023519758782671603,0.15951876518758748,0.09269400442008352,0.017057277646432053,0.3955016426585798,0.4624715693707355,2.404894465731157
2021-12-31,2022-03-04,0.024827210001680502,0.1683863307917452,0.09269400442008352,0.018198538544717677,0.514626635873749,0.514626635873749,2.6537516511698973
