方案,buffer_lag_days,relief_lag_days,buffer_alpha,relief_alpha,risk_alpha,RMSE,MAE,平均误差,最大绝对误差,峰值误差,末日误差,初始冲击吸收_RMSE,初始冲击吸收_MAE,高位平台形成_RMSE,高位平台形成_MAE,中期再定价回落_RMSE,中期再定价回落_MAE,后期二次抬升_RMSE,后期二次抬升_MAE,优化目标
buffer_lag2_relief_lag1_ba0.75_ra0.75,2,1,0.75,0.75,1.0,3.806458515293588,3.163113788405846,0.027397327016673315,8.958271396319105,-4.149489634704622,-0.3994896347046222,3.3168007915845203,2.951406097994982,5.027564845074912,4.106268794156701,3.868731652584062,3.4589637601664287,2.8667238436105844,2.403160215106959,5.002384515151625
buffer_lag2_relief_lag0_ba0.55_ra0.75,2,0,0.55,0.75,1.0,3.8089776472155106,3.008572254820769,0.017988453376764083,9.302908702886256,-3.9581509791065628,-0.20815097910656277,3.3168007915845203,2.951406097994982,5.199010877254335,4.2539810764894215,3.864806848152239,3.101635204315093,2.5912933030602674,2.0326766334105044,5.008267435981634
buffer_lag2_relief_lag0_ba0.55_ra0.55,2,0,0.55,0.55,1.0,3.8216776545587794,3.1006155263630335,0.025884850569029352,9.302908702886256,-4.104997598189598,-0.3549975981895983,3.3168007915845203,2.951406097994982,5.199010877254335,4.2539810764894215,3.851161650755598,3.224838211500733,2.681710805840875,2.262306167136881,5.025580734799726
buffer_lag1_relief_lag1_ba0.75_ra0.55,1,1,0.75,0.55,1.0,3.7993585601951807,3.20736331126242,0.03448706136490364,7.167771525966984,-4.288172944089737,-0.5381729440897374,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,4.320825490726844,3.8840350198516895,3.1555092252847956,2.6922707811678777,5.040191680471891
buffer_lag0_relief_lag2_ba1.0_ra1.0,0,2,1.0,1.0,1.0,3.7985140392646137,3.2492255385211597,0.025470124958213994,7.375715114856604,-4.218173168530939,-0.4681731685309387,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,4.635075302590678,4.272918516833983,3.4480110302261275,2.94088049555029,5.047307758949616
buffer_lag2_relief_lag1_ba0.55_ra0.75,2,1,0.55,0.75,1.0,3.853581613347273,3.190497065943505,0.030697796305692665,9.302908702886256,-4.176269153640902,-0.42626915364090223,3.3168007915845203,2.951406097994982,5.199010877254335,4.2539810764894215,3.8136289941096067,3.389911222361544,2.9013661547569134,2.4417790580012095,5.053541740031587
buffer_lag0_relief_lag2_ba0.75_ra1.0,0,2,0.75,1.0,1.0,3.8158008365581,3.2657891806650388,0.027058008651267545,7.281037079724541,-4.234332505034942,-0.4843325050349421,3.3168007915845203,2.951406097994982,3.85761450586944,3.1062189331362773,4.579635706689366,4.221669122951165,3.466128601921591,2.9507562285845155,5.064553763617276
buffer_lag2_relief_lag0_ba0.55_ra1.0,2,0,0.55,1.0,1.0,3.8573139533983682,3.0258196309413363,0.01446451063024551,9.302908702886256,-3.885515354680834,-0.13551535468083387,3.3168007915845203,2.951406097994982,5.199010877254335,4.2539810764894215,3.989128754660295,3.097398251956251,2.6756056456025346,2.1030285275648573,5.077836342244816
buffer_lag2_relief_lag0_ba1.0_ra0.4,2,0,1.0,0.4,1.0,3.8399845927591474,3.224481542752202,0.043068473684795466,8.527474763110177,-4.384205895739754,-0.634205895739754,3.3168007915845203,2.951406097994982,4.838581922307113,3.939736356381387,4.137393247043197,3.687442025070279,2.959563801976975,2.5625797431581745,5.086260090739344
buffer_lag1_relief_lag1_ba0.55_ra0.55,1,1,0.55,0.55,1.0,3.8448024621095924,3.229858836599291,0.03769397503870108,7.800324946016104,-4.3157884927395855,-0.5657884927395855,3.3168007915845203,2.951406097994982,4.595917198687955,3.6921954794604672,4.235846798968649,3.7813534172145657,3.1898596002419044,2.716193781271907,5.087934622435338
