参数组,参数,中文名,扰动比例,原值,扰动后值,RMSE,MAE,MAPE,方向命中率,最大绝对误差,综合得分,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,RMSE改善率,综合得分改善率
behavior,buffer_relief_strength,缓冲确认折价强度,-0.1,0.20703750524313,0.186333754718817,3.390742164164785,2.7987398092929787,2.804635945475942,66.66666666666666,6.827510095639113,6.550503474746703,3.759119901322526,3.77019081760205,2.7781615134259754,-0.317393437032171,-0.7010163893443593
behavior,adjustment_speed,价格调整速度,-0.1,0.45,0.405,3.397666205961075,2.762115909959227,2.7548029510598337,66.66666666666666,7.152818993212975,6.578399989782521,3.841804777841211,3.803739316468349,2.6874232947439793,-0.5222458827279316,-1.1298700535943573
behavior,buffer_relief_strength,缓冲确认折价强度,-0.15,0.20703750524313,0.1759818794566605,3.4062604534172434,2.8257685200075953,2.835093650127127,66.66666666666666,6.618975711074313,6.587795516932912,3.800966184693887,3.7762721842264466,2.790451990103138,-0.7765124891562707,-1.2743076738789076
behavior,inventory_response,库存响应比例,0.1,0.6833743478947638,0.75,3.452014654696513,2.8523661281991446,2.8472067949171085,62.22222222222222,7.526049239739862,6.592658934545469,3.9964679557868403,3.7709254975502473,2.773352799675396,-2.1301813878530464,-1.3490730867358491
behavior,inventory_response,库存响应比例,0.15,0.6833743478947638,0.75,3.452014654696513,2.8523661281991446,2.8472067949171085,62.22222222222222,7.526049239739862,6.592658934545469,3.9964679557868403,3.7709254975502473,2.773352799675396,-2.1301813878530464,-1.3490730867358491
behavior,inventory_response,库存响应比例,0.05,0.6833743478947638,0.7175430652895021,3.452064233575475,2.8527942662564274,2.8479796229949783,62.22222222222222,7.509194325434095,6.594275935664632,3.9927959067289343,3.7709223431488255,2.773352833494455,-2.131648212420112,-1.3739312761605504
behavior,relief_discount_strength,预期修复折价强度,-0.05,0.24,0.22799999999999998,3.4292799029444874,2.8333425108310477,2.83802520567592,66.66666666666666,7.056584604258191,6.595694563861517,3.7296250092539993,3.856617399695255,2.8755875431352305,-1.457558426336003,-1.3957398748210532
assumption,spr_max_release,SPR释放上限,-0.05,700.0,665.0,3.444893692477643,2.7953524370995413,2.792971159510064,62.22222222222222,7.546211485723163,6.614494030574004,3.9637427440038313,3.797266049528402,2.735004690705123,-1.9195029186641104,-1.6847444395577018
behavior,inventory_response,库存响应比例,-0.15,0.6833743478947638,0.5808681957105493,3.448804958021284,2.798283465057344,2.7963058023794694,62.22222222222222,7.5561995197747365,6.621985061247051,3.961987574326361,3.798803427354568,2.7366452190383876,-2.0352203472922397,-1.7999041987254918
behavior,relief_start_day,预期修复开始日,-0.1,29.0,26.0,3.521660840898919,2.792611497399101,2.7744157560955274,68.88888888888889,9.216936102617865,6.637869865710666,3.8915908389310547,4.119695945146914,2.7387242044070215,-4.190710771801812,-2.044101604436179
behavior,adjustment_speed,价格调整速度,-0.15,0.45,0.3825,3.4262404290104196,2.7852883586552935,2.7739562559539097,68.88888888888889,7.120133816407588,6.662483238692866,3.9073133061224627,3.825319225371734,2.672398391213045,-1.3676335403603135,-2.422483462507544
