day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id
44,31,calendar,2026-04-15,94.87,95.3726185345066,9543.131646892502,9258.532346258145,680.1548957714931,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4184330692959848,1.4363440356377424,1.4363440356377424,-0.009644366491715628,54489.3741909565,262.286647985155,430.0,479.18100575669996,-0.17728715536900946,1.000714625355118,0.0,20.61009260319487,19.23682905368294,0.023542975011687086,2.608466427986508,17.562045978089238,36003
45,32,calendar,2026-04-16,98.21,95.50722936091172,9543.131646892502,9267.536366970968,689.1589164843153,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3999009130251985,1.423588942723352,1.423588942723352,-0.012755092914390476,54489.3741909565,267.1349668305211,430.0,465.3286661985112,-0.1801800452637597,1.0006353043184057,0.0,20.53291667603241,19.335608423174634,0.02092978311771631,2.450376511142042,14.865191687953928,36003
46,33,calendar,2026-04-17,92.42,96.39895044334625,9543.131646892502,9261.197901836724,682.8204513500714,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4128958710863733,1.4198463676504094,1.4198463676504094,-0.003742575072942511,54489.3741909565,263.72194714285104,430.0,475.08015102042555,-0.18307293515850992,1.000564787652851,0.0,20.455352294051814,19.429049703077947,0.01860664682934868,2.3019169284057295,12.582911743766687,36003
49,34,calendar,2026-04-20,93.8,98.73904623975848,9543.131646892502,9235.931218118185,657.5537676315325,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4671867821255649,1.4364155127167137,1.4364155127167137,0.016569145066304358,54489.3741909565,250.11680975594572,430.0,513.9519721258694,-0.19175160484276055,1.0003968216448085,0.0,20.22123021098144,19.68015263344873,0.013073090677391845,1.9084932798038379,7.67669782183849,36003
50,35,calendar,2026-04-21,99.06,100.73057736826213,9543.131646892502,9202.328788418408,623.9513379317559,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.458670083265864,1.458670083265864,0.022254570549150143,54489.3741909565,232.0231937637583,430.0,565.6480178178335,-0.19464449473751078,1.0003527757625421,0.0,20.14295396519214,19.754974561243728,0.01162202110906641,1.792971409827724,6.511545217389358,36003
51,36,calendar,2026-04-22,101.55,102.43450132494962,9543.131646892502,9172.903030659534,594.5255801728817,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4731355541228115,1.4731355541228115,0.014465470856947604,54489.3741909565,216.17855497051835,430.0,610.9184143699476,-0.19753738463226095,1.0003136188266575,0.0,20.06465596469312,19.82575307232327,0.010332015434817802,1.6843965407988937,5.497232619458243,36003
52,37,calendar,2026-04-23,106.01,103.88854337908198,9543.131646892502,9146.806671380666,568.4292208940133,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4825381101798274,1.4825381101798274,0.009402556057015898,54489.3741909565,202.12666920497387,430.0,651.0666594143604,-0.20043027452701118,1.0002788081803728,0.0,19.986381946950186,19.89270667507408,0.009185196098296237,1.582374865075701,4.645221981148958,36003
53,38,calendar,2026-04-24,105.88,105.12740029071632,9543.131646892502,9123.531334239395,545.1538837527423,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4886497716168878,1.4886497716168878,0.006111661437060434,54489.3741909565,189.59379535967375,430.0,686.8748704009322,-0.2033231644217614,1.0002478614000039,0.0,19.908171231760317,19.956042069573634,0.008165669892424446,1.4865212895292983,3.92764291883263,36003
56,39,calendar,2026-04-27,101.97,106.52882588030718,9543.131646892502,9090.023943876817,511.6464933901643,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4926223515509771,1.4926223515509771,0.003972579934089282,54489.3741909565,171.5513543952091,430.0,738.424701727974,-0.21200183410601203,1.0001741482271036,0.0,19.67423343380001,20.126242040844186,0.005737226267815938,1.2323799942743463,2.380479431190043,36003
57,40,calendar,2026-04-28,104.48,107.60655267894573,9543.131646892502,9066.63628144655,488.25883095989775,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4952045285081352,1.4952045285081352,0.002582176957158122,54489.3741909565,158.95799770198823,430.0,774.4057208514623,-0.21489472400076226,1.0001548183533222,0.0,19.59656907243004,20.17695706014847,0.005100413241021732,1.157719034023974,2.014065582381819,36003
58,41,calendar,2026-04-29,112.49,108.44567911066606,9543.131646892502,9047.01561164122,468.63816115456757,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.496882943530288,1.496882943530288,0.0016784150221527128,54489.3741909565,148.39302165296453,430.0,804.5913667058157,-0.2177876138955125,1.000137634031216,0.0,19.519095185153848,20.224931412875144,0.0045342843413935935,1.087579502101064,1.704337666715228,36003
59,42,calendar,2026-04-30,110.86,109.10659647517777,9543.131646892502,9030.134057006788,451.7566065201354,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4979739132946872,1.4979739132946872,0.0010909697643992633,54489.3741909565,139.3029537728862,430.0,830.5629892203251,-0.22068050379026266,1.0001223571116877,0.0,19.44182734181399,20.270313206101616,0.0040309938659967345,1.0216882873039241,1.4423979088647338,36003
60,43,calendar,2026-05-01,109.2,109.63247278526502,9543.131646892502,9015.281525674443,436.904075187791,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4986830436415466,1.4986830436415466,0.0007091303468593768,54489.3741909565,131.30543690162312,430.0,853.4130374239339,-0.2235733936850129,1.0001087758793976,0.0,19.364778819673138,20.313242543120168,0.003583566958817865,0.959788482415493,1.2208023638226078,36003
63,44,calendar,2026-05-04,114.06,110.15935213141395,9543.131646892502,9008.89378596632,430.51633547966776,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4991439783670053,1.4991439783670053,0.00046093472545871705,54489.3741909565,127.86588475109505,430.0,863.2403292825857,-0.2235733936850129,1.0000764262872253,0.0,19.135053859778743,20.4286057138236,0.0025178258194935165,0.7956933118645027,0.7403905439991378,36003
64,45,calendar,2026-05-05,110.31,110.55289706349586,9543.131646892502,9002.531350255935,424.15389976928236,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.5,1.4994435859385535,1.4994435859385535,0.0002996075715482327,54489.3741909565,124.43995783011917,430.0,873.0286919139453,-0.2235733936850129,1.0000679432236292,0.0,19.058979666193515,20.462980839656776,0.0022383555308547786,0.7474850549146225,0.6266921143531624,36003
